date,heure,client,achat,status
01/05/2026,08:15,john.rakoto@example.com,"{[""sk-iphone"";2],[""sk-ecran"";1]}",completed
01/05/2026,14:30,clara.rasoa@example.com,"{[""sk-samsung"";3]}",pending
01/05/2026,19:45,dera.rajaonary@example.com,"{[""sk-lenovo"";1],[""sk-mac"";2]}",completed
02/05/2026,09:20,miora.andriamihaja@example.com,"{[""sk-dell"";1]}",completed
02/05/2026,12:10,fidy.ravelo@example.com,"{[""sk-galaxy-tab"";2],[""sk-logitech"";4]}",pending
02/05/2026,22:55,haja.randria@example.com,"{[""sk-ipad"";1],[""sk-iphone"";1]}",cancelled
03/05/2026,07:30,tahina.ranaivo@example.com,"{[""sk-ecran"";1]}",completed
03/05/2026,11:00,nomena.rabearison@example.com,"{[""sk-lenovo"";2],[""sk-mac"";1],[""sk-samsung"";1]}",completed
03/05/2026,16:40,toky.rakotondrabe@example.com,"{[""sk-huawei"";3]}",pending
04/05/2026,10:15,lanto.razafindrakoto@example.com,"{[""sk-dell"";1],[""sk-ecran"";2]}",completed
04/05/2026,13:50,soa.rakotomalala@example.com,"{[""sk-iphone"";4]}",completed
04/05/2026,18:30,nyaina.razafimandimby@example.com,"{[""sk-logitech"";6]}",pending
05/05/2026,09:00,fara.rakotoniaina@example.com,"{[""sk-galaxy-tab"";1],[""sk-ipad"";2]}",completed
05/05/2026,15:20,mamy.rajoelina@example.com,"{[""sk-samsung"";2],[""sk-huawei"";1]}",cancelled
05/05/2026,21:10,rija.rakotovao@example.com,"{[""sk-lenovo"";1]}",completed
06/05/2026,06:45,tovo.razafintsalama@example.com,"{[""sk-mac"";1],[""sk-ecran"";1]}",completed
06/05/2026,12:30,hery.ranaivoson@example.com,"{[""sk-iphone"";3],[""sk-logitech"";2]}",pending
06/05/2026,17:55,bako.rakotozafy@example.com,"{[""sk-dell"";2]}",completed
07/05/2026,08:40,niry.razakamiadana@example.com,"{[""sk-samsung"";1],[""sk-galaxy-tab"";1],[""sk-ipad"";1]}",completed
07/05/2026,14:20,aina.rakotondrasoa@example.com,"{[""sk-lenovo"";3]}",pending
07/05/2026,19:00,john.rakoto@example.com,"{[""sk-huawei"";2]}",completed
08/05/2026,10:30,clara.rasoa@example.com,"{[""sk-mac"";2],[""sk-ecran"";1]}",completed
08/05/2026,16:15,dera.rajaonary@example.com,"{[""sk-iphone"";1]}",cancelled
08/05/2026,20:45,miora.andriamihaja@example.com,"{[""sk-logitech"";5],[""sk-samsung"";1]}",pending
09/05/2026,07:00,fidy.ravelo@example.com,"{[""sk-dell"";1],[""sk-lenovo"";1]}",completed
09/05/2026,13:25,haja.randria@example.com,"{[""sk-galaxy-tab"";3]}",completed
09/05/2026,18:50,tahina.ranaivo@example.com,"{[""sk-ipad"";2],[""sk-iphone"";2]}",pending
10/05/2026,09:35,nomena.rabearison@example.com,"{[""sk-ecran"";2]}",completed
10/05/2026,15:00,toky.rakotondrabe@example.com,"{[""sk-mac"";1],[""sk-huawei"";2],[""sk-logitech"";1]}",completed
10/05/2026,21:20,lanto.razafindrakoto@example.com,"{[""sk-lenovo"";2]}",cancelled
11/05/2026,08:10,soa.rakotomalala@example.com,"{[""sk-samsung"";4]}",pending
11/05/2026,12:45,nyaina.razafimandimby@example.com,"{[""sk-dell"";1],[""sk-iphone"";1]}",completed
11/05/2026,17:30,fara.rakotoniaina@example.com,"{[""sk-galaxy-tab"";2],[""sk-ecran"";1]}",completed
12/05/2026,10:20,mamy.rajoelina@example.com,"{[""sk-ipad"";3]}",pending
12/05/2026,14:55,rija.rakotovao@example.com,"{[""sk-lenovo"";1],[""sk-mac"";2],[""sk-huawei"";1]}",completed
12/05/2026,19:40,tovo.razafintsalama@example.com,"{[""sk-logitech"";4]}",completed
13/05/2026,07:15,hery.ranaivoson@example.com,"{[""sk-samsung"";2],[""sk-iphone"";2]}",pending
13/05/2026,11:50,bako.rakotozafy@example.com,"{[""sk-dell"";1]}",cancelled
13/05/2026,16:25,niry.razakamiadana@example.com,"{[""sk-ecran"";3]}",completed
